epoch,loss,lr
0,0.12417872250080109,0.02
1,0.09006597101688385,0.02
2,0.07820361107587814,0.02
3,0.060966797173023224,0.02
4,0.05670679360628128,0.02
5,0.051221393048763275,0.02
6,0.04678979888558388,0.02
7,0.048386093229055405,0.02
8,0.051267340779304504,0.02
9,0.05664101243019104,0.02
10,0.052952952682971954,0.018
11,0.04034493491053581,0.018
12,0.03701769933104515,0.018
13,0.03483843430876732,0.018
14,0.03869190439581871,0.018
15,0.03910409286618233,0.018
16,0.052480969578027725,0.018
17,0.04522131383419037,0.016199999
18,0.035222128033638,0.016199999
19,0.029915770515799522,0.016199999
20,0.032816071063280106,0.016199999
21,0.0327753908932209,0.016199999
22,0.03018469363451004,0.016199999
23,0.03541804477572441,0.014579998
24,0.02998633123934269,0.014579998
25,0.02670300006866455,0.014579998
26,0.02586752362549305,0.014579998
27,0.02570796199142933,0.014579998
28,0.026961108669638634,0.014579998
29,0.030595744028687477,0.014579998
30,0.0276417788118124,0.014579998
31,0.027611596509814262,0.013121999
32,0.0216208565980196,0.013121999
33,0.020686080679297447,0.013121999
34,0.022663729265332222,0.013121999
35,0.021842896938323975,0.013121999
36,0.03173673525452614,0.013121999
37,0.02672662027180195,0.011809799
38,0.018492519855499268,0.011809799
39,0.018765516579151154,0.011809799
40,0.019579999148845673,0.011809799
41,0.018404876813292503,0.011809799
42,0.01718110777437687,0.010628819
43,0.02088899351656437,0.010628819
44,0.019939018413424492,0.010628819
45,0.01711454801261425,0.010628819
46,0.016066500917077065,0.009565937
47,0.015796596184372902,0.009565937
48,0.016515590250492096,0.009565937
49,0.01637275703251362,0.009565937
50,0.015701495110988617,0.009565937
51,0.01555289700627327,0.008609343
52,0.016145577654242516,0.008609343
53,0.016182370483875275,0.008609343
54,0.018359770998358727,0.008609343
55,0.015072591602802277,0.007748409
56,0.014759542420506477,0.007748409
57,0.015158895403146744,0.007748409
58,0.015115469694137573,0.007748409
59,0.015940608456730843,0.007748409
60,0.01408033911138773,0.0069735684
61,0.013993486762046814,0.0069735684
62,0.01324729435145855,0.0069735684
63,0.013582576997578144,0.0069735684
64,0.013301942497491837,0.0069735684
65,0.012568621896207333,0.0069735684
66,0.01265181414783001,0.0069735684
67,0.012497786432504654,0.0069735684
68,0.012757313437759876,0.0069735684
69,0.012542489916086197,0.0062762117
70,0.012250280939042568,0.0062762117
71,0.012369145639240742,0.0062762117
72,0.013583173044025898,0.0062762117
73,0.011849997565150261,0.0062762117
74,0.012163756415247917,0.0062762117
75,0.012242481112480164,0.0062762117
76,0.011793750338256359,0.0062762117
77,0.012075779028236866,0.0056485906
78,0.011445721611380577,0.0056485906
79,0.011584900319576263,0.0056485906
80,0.011386674828827381,0.0056485906
81,0.011065144091844559,0.0056485906
82,0.011462021619081497,0.0056485906
83,0.011404761113226414,0.0056485906
84,0.011267310939729214,0.0056485906
85,0.011454872786998749,0.0050837314
86,0.01296598557382822,0.0050837314
87,0.012038649059832096,0.0050837314
88,0.010940924286842346,0.0045753582
89,0.010920067317783833,0.0045753582
90,0.011268739588558674,0.0045753582
91,0.010900947265326977,0.0045753582
92,0.01070558000355959,0.0041178223
93,0.010680384002625942,0.0041178223
94,0.010731952264904976,0.0041178223
95,0.010734224691987038,0.0041178223
96,0.010529261082410812,0.00370604
97,0.01074075698852539,0.00370604
98,0.01055915653705597,0.00370604
99,0.011206724680960178,0.00370604
