id,a_atom,b1_atom,b2_atom,composition,distance_a,distance_b1,distance_b2,x_atom,cubic,ortho,eleneg_a,eleneg_b1,eleneg_b2,eleneg_x,hoe_a,hoe_b1,hoe_b2,hoe_x,ionenergy_a,ionenergy_b1,ionenergy_b2,ionenergy_x,luep_a,luep_b1,luep_b2,luep_x,rd_a,rd_b1,rd_b2,rd_x,rp_a,rp_b1,rp_b2,rp_x,rs_a,rs_b1,rs_b2,rs_x,ind_gap,heat_of_formation
Cs.Tl.In.Cl-ortho,Cs,Tl,In,Cs.Tl.In.Cl,4.016592,3.154825,2.56648,Cl,0,1,0.79,2.04,1.78,3.16,-2.0862,-2.37,-2.5185,-8.5949,3.8939,6.1082,5.7864,12.9676,-2.0862,-2.37,-2.5185,-8.5949,0,0.463,0.36,0,2.6,1.22,1.11,0.51,1.71,1.015,0.94,0.5,2.6723,-1.49911433
Cs.Tl.Sb.Cl-ortho,Cs,Tl,Sb,Cs.Tl.Sb.Cl,4.089344,3.162654,2.680714,Cl,0,1,0.79,2.04,2.05,3.16,-2.0862,-2.37,-4.8276,-8.5949,3.8939,6.1082,8.6084,12.9676,-2.0862,-2.37,-4.8276,-8.5949,0,0.463,0.335,0,2.6,1.22,0.935,0.51,1.71,1.015,0.83,0.5,1.666,-1.406570487
K.Ag.Al.Cl-ortho,K,Ag,Al,K.Ag.Al.Cl,3.606189,2.788023,2.362835,Cl,0,1,0.82,1.93,1.61,3.16,-2.319,-4.4045,-2.7121,-8.5949,4.3407,7.5762,5.9858,12.9676,-2.319,-4.4045,-2.7121,-8.5949,0.37,0.385,0,0,2.15,1.33,0.905,0.51,1.54,1.045,0.77,0.5,2.5992,-1.48407775
K.Ag.As.Cl-ortho,K,Ag,As,K.Ag.As.Cl,3.68993,2.752671,2.533035,Cl,0,1,0.82,1.93,2.18,3.16,-2.319,-4.4045,-5.1947,-8.5949,4.3407,7.5762,9.7886,12.9676,-2.319,-4.4045,-5.1947,-8.5949,0.37,0.385,0.155,0,2.15,1.33,0.745,0.51,1.54,1.045,0.67,0.5,1.6011,-1.15930111
K.Ag.Bi.Cl-ortho,K,Ag,Bi,K.Ag.Bi.Cl,3.486247,2.783748,2.744781,Cl,0,1,0.82,1.93,2.02,3.16,-2.319,-4.4045,-4.5702,-8.5949,4.3407,7.5762,7.2855,12.9676,-2.319,-4.4045,-4.5702,-8.5949,0.37,0.385,0.438,0,2.15,1.33,1.077,0.51,1.54,1.045,0.92,0.5,1.7561,-1.30372621
K.Ag.Ga.Cl-ortho,K,Ag,Ga,K.Ag.Ga.Cl,3.62886,2.765586,2.420576,Cl,0,1,0.82,1.93,1.81,3.16,-2.319,-4.4045,-2.5791,-8.5949,4.3407,7.5762,5.9993,12.9676,-2.319,-4.4045,-2.5791,-8.5949,0.37,0.385,0.17,0,2.15,1.33,0.935,0.51,1.54,1.045,0.76,0.5,1.4588,-1.30786216
K.Ag.In.Cl-ortho,K,Ag,In,K.Ag.In.Cl,3.723676,2.776906,2.569207,Cl,0,1,0.82,1.93,1.78,3.16,-2.319,-4.4045,-2.5185,-8.5949,4.3407,7.5762,5.7864,12.9676,-2.319,-4.4045,-2.5185,-8.5949,0.37,0.385,0.36,0,2.15,1.33,1.11,0.51,1.54,1.045,0.94,0.5,1.5675,-1.34212852
K.Ag.Sb.Cl-ortho,K,Ag,Sb,K.Ag.Sb.Cl,3.585723,2.777905,2.682871,Cl,0,1,0.82,1.93,2.05,3.16,-2.319,-4.4045,-4.8276,-8.5949,4.3407,7.5762,8.6084,12.9676,-2.319,-4.4045,-4.8276,-8.5949,0.37,0.385,0.335,0,2.15,1.33,0.935,0.51,1.54,1.045,0.83,0.5,1.7291,-1.249334777
K.Au.Al.Cl-ortho,K,Au,Al,K.Au.Al.Cl,3.569593,3.050179,2.47335,Cl,0,1,0.82,2.54,1.61,3.16,-2.319,-5.7602,-2.7121,-8.5949,4.3407,9.2255,5.9858,12.9676,-2.319,-5.7602,-2.7121,-8.5949,0.37,0.488,0,0,2.15,1.45,0.905,0.51,1.54,1.21,0.77,0.5,2.6579,-1.38292155
K.Au.As.Cl-ortho,K,Au,As,K.Au.As.Cl,3.49966,3.245103,2.544606,Cl,0,1,0.82,2.54,2.18,3.16,-2.319,-5.7602,-5.1947,-8.5949,4.3407,9.2255,9.7886,12.9676,-2.319,-5.7602,-5.1947,-8.5949,0.37,0.488,0.155,0,2.15,1.45,0.745,0.51,1.54,1.21,0.67,0.5,2.0922,-1.07822136
K.Au.Bi.Cl-ortho,K,Au,Bi,K.Au.Bi.Cl,3.560941,3.244998,2.750133,Cl,0,1,0.82,2.54,2.02,3.16,-2.319,-5.7602,-4.5702,-8.5949,4.3407,9.2255,7.2855,12.9676,-2.319,-5.7602,-4.5702,-8.5949,0.37,0.488,0.438,0,2.15,1.45,1.077,0.51,1.54,1.21,0.92,0.5,2.2396,-1.22005721
K.Au.Ga.Cl-ortho,K,Au,Ga,K.Au.Ga.Cl,3.444429,2.981167,2.571427,Cl,0,1,0.82,2.54,1.81,3.16,-2.319,-5.7602,-2.5791,-8.5949,4.3407,9.2255,5.9993,12.9676,-2.319,-5.7602,-2.5791,-8.5949,0.37,0.488,0.17,0,2.15,1.45,0.935,0.51,1.54,1.21,0.76,0.5,2.0261,-1.22003381
K.Au.In.Cl-ortho,K,Au,In,K.Au.In.Cl,3.369238,3.067703,2.644306,Cl,0,1,0.82,2.54,1.78,3.16,-2.319,-5.7602,-2.5185,-8.5949,4.3407,9.2255,5.7864,12.9676,-2.319,-5.7602,-2.5185,-8.5949,0.37,0.488,0.36,0,2.15,1.45,1.11,0.51,1.54,1.21,0.94,0.5,1.8298,-1.23889022
K.Au.Sb.Cl-ortho,K,Au,Sb,K.Au.Sb.Cl,3.540835,3.217802,2.692003,Cl,0,1,0.82,2.54,2.05,3.16,-2.319,-5.7602,-4.8276,-8.5949,4.3407,9.2255,8.6084,12.9676,-2.319,-5.7602,-4.8276,-8.5949,0.37,0.488,0.335,0,2.15,1.45,0.935,0.51,1.54,1.21,0.83,0.5,2.1145,-1.166310927
K.Cu.Al.Cl-ortho,K,Cu,Al,K.Cu.Al.Cl,3.517872,2.635024,2.371627,Cl,0,1,0.82,1.9,1.61,3.16,-2.319,-4.6097,-2.7121,-8.5949,4.3407,7.7264,5.9858,12.9676,-2.319,-4.6097,-2.7121,-8.5949,0.37,0.185,0,0,2.15,1.16,0.905,0.51,1.54,0.88,0.77,0.5,1.2013,-1.241290475
K.Cu.As.Cl-ortho,K,Cu,As,K.Cu.As.Cl,3.556044,2.518943,2.544714,Cl,0,1,0.82,1.9,2.18,3.16,-2.319,-4.6097,-5.1947,-8.5949,4.3407,7.7264,9.7886,12.9676,-2.319,-4.6097,-5.1947,-8.5949,0.37,0.185,0.155,0,2.15,1.16,0.745,0.51,1.54,0.88,0.67,0.5,0.6427,-1.119771035
K.Cu.Bi.Cl-ortho,K,Cu,Bi,K.Cu.Bi.Cl,3.481594,2.782896,2.750645,Cl,0,1,0.82,1.9,2.02,3.16,-2.319,-4.6097,-4.5702,-8.5949,4.3407,7.7264,7.2855,12.9676,-2.319,-4.6097,-4.5702,-8.5949,0.37,0.185,0.438,0,2.15,1.16,1.077,0.51,1.54,0.88,0.92,0.5,1.1863,-1.261265785
K.Cu.Ga.Cl-ortho,K,Cu,Ga,K.Cu.Ga.Cl,3.585968,2.627117,2.474328,Cl,0,1,0.82,1.9,1.81,3.16,-2.319,-4.6097,-2.5791,-8.5949,4.3407,7.7264,5.9993,12.9676,-2.319,-4.6097,-2.5791,-8.5949,0.37,0.185,0.17,0,2.15,1.16,0.935,0.51,1.54,0.88,0.76,0.5,0.8205,-1.268272935
K.Cu.In.Cl-ortho,K,Cu,In,K.Cu.In.Cl,3.621479,2.579731,2.592945,Cl,0,1,0.82,1.9,1.78,3.16,-2.319,-4.6097,-2.5185,-8.5949,4.3407,7.7264,5.7864,12.9676,-2.319,-4.6097,-2.5185,-8.5949,0.37,0.185,0.36,0,2.15,1.16,1.11,0.51,1.54,0.88,0.94,0.5,0.3592,-1.294703145
K.Cu.Sb.Cl-ortho,K,Cu,Sb,K.Cu.Sb.Cl,3.45753,2.768771,2.691042,Cl,0,1,0.82,1.9,2.05,3.16,-2.319,-4.6097,-4.8276,-8.5949,4.3407,7.7264,8.6084,12.9676,-2.319,-4.6097,-4.8276,-8.5949,0.37,0.185,0.335,0,2.15,1.16,0.935,0.51,1.54,0.88,0.83,0.5,1.2445,-1.207369452
K.In.Al.Cl-ortho,K,In,Al,K.In.Al.Cl,3.49307,3.149962,2.36315,Cl,0,1,0.82,1.78,1.61,3.16,-2.319,-2.5185,-2.7121,-8.5949,4.3407,5.7864,5.9858,12.9676,-2.319,-2.5185,-2.7121,-8.5949,0.37,0.36,0,0,2.15,1.11,0.905,0.51,1.54,0.94,0.77,0.5,3.3174,-1.563483285
K.In.As.Cl-ortho,K,In,As,K.In.As.Cl,3.536918,3.088806,2.535778,Cl,0,1,0.82,1.78,2.18,3.16,-2.319,-2.5185,-5.1947,-8.5949,4.3407,5.7864,9.7886,12.9676,-2.319,-2.5185,-5.1947,-8.5949,0.37,0.36,0.155,0,2.15,1.11,0.745,0.51,1.54,0.94,0.67,0.5,1.513,-1.233663645
K.In.Bi.Cl-ortho,K,In,Bi,K.In.Bi.Cl,3.481834,3.146675,2.746289,Cl,0,1,0.82,1.78,2.02,3.16,-2.319,-2.5185,-4.5702,-8.5949,4.3407,5.7864,7.2855,12.9676,-2.319,-2.5185,-4.5702,-8.5949,0.37,0.36,0.438,0,2.15,1.11,1.077,0.51,1.54,0.94,0.92,0.5,1.5136,-1.382938145
K.In.Ga.Cl-ortho,K,In,Ga,K.In.Ga.Cl,3.500716,3.111674,2.419548,Cl,0,1,0.82,1.78,1.81,3.16,-2.319,-2.5185,-2.5791,-8.5949,4.3407,5.7864,5.9993,12.9676,-2.319,-2.5185,-2.5791,-8.5949,0.37,0.36,0.17,0,2.15,1.11,0.935,0.51,1.54,0.94,0.76,0.5,2.0393,-1.385073295
K.In.In.Cl-ortho,K,In,In,K.In.In.Cl,3.55107,2.853284,2.853284,Cl,0,1,0.82,1.78,1.78,3.16,-2.319,-2.5185,-2.5185,-8.5949,4.3407,5.7864,5.7864,12.9676,-2.319,-2.5185,-2.5185,-8.5949,0.37,0.36,0.36,0,2.15,1.11,1.11,0.51,1.54,0.94,0.94,0.5,2.1947,-1.421448205
K.In.Sb.Cl-ortho,K,In,Sb,K.In.Sb.Cl,3.596105,3.132767,2.685702,Cl,0,1,0.82,1.78,2.05,3.16,-2.319,-2.5185,-4.8276,-8.5949,4.3407,5.7864,8.6084,12.9676,-2.319,-2.5185,-4.8276,-8.5949,0.37,0.36,0.335,0,2.15,1.11,0.935,0.51,1.54,0.94,0.83,0.5,1.6865,-1.326302762
K.Tl.Al.Cl-ortho,K,Tl,Al,K.Tl.Al.Cl,3.501627,3.18425,2.361838,Cl,0,1,0.82,2.04,1.61,3.16,-2.319,-2.37,-2.7121,-8.5949,4.3407,6.1082,5.9858,12.9676,-2.319,-2.37,-2.7121,-8.5949,0.37,0.463,0,0,2.15,1.22,0.905,0.51,1.54,1.015,0.77,0.5,3.7537,-1.60569624
K.Tl.As.Cl-ortho,K,Tl,As,K.Tl.As.Cl,3.548521,3.166725,2.531393,Cl,0,1,0.82,2.04,2.18,3.16,-2.319,-2.37,-5.1947,-8.5949,4.3407,6.1082,9.7886,12.9676,-2.319,-2.37,-5.1947,-8.5949,0.37,0.463,0.155,0,2.15,1.22,0.745,0.51,1.54,1.015,0.67,0.5,2.1296,-1.2705536
K.Tl.Bi.Cl-ortho,K,Tl,Bi,K.Tl.Bi.Cl,3.484536,3.198696,2.744728,Cl,0,1,0.82,2.04,2.02,3.16,-2.319,-2.37,-4.5702,-8.5949,4.3407,6.1082,7.2855,12.9676,-2.319,-2.37,-4.5702,-8.5949,0.37,0.463,0.438,0,2.15,1.22,1.077,0.51,1.54,1.015,0.92,0.5,2.0945,-1.4235639
K.Tl.Ga.Cl-ortho,K,Tl,Ga,K.Tl.Ga.Cl,3.51452,3.173296,2.416142,Cl,0,1,0.82,2.04,1.81,3.16,-2.319,-2.37,-2.5791,-8.5949,4.3407,6.1082,5.9993,12.9676,-2.319,-2.37,-2.5791,-8.5949,0.37,0.463,0.17,0,2.15,1.22,0.935,0.51,1.54,1.015,0.76,0.5,2.7794,-1.4244176
K.Tl.In.Cl-ortho,K,Tl,In,K.Tl.In.Cl,3.567662,3.188098,2.56602,Cl,0,1,0.82,2.04,1.78,3.16,-2.319,-2.37,-2.5185,-8.5949,4.3407,6.1082,5.7864,12.9676,-2.319,-2.37,-2.5185,-8.5949,0.37,0.463,0.36,0,2.15,1.22,1.11,0.51,1.54,1.015,0.94,0.5,2.919,-1.46193156
K.Tl.Sb.Cl-ortho,K,Tl,Sb,K.Tl.Sb.Cl,3.603709,3.185749,2.682834,Cl,0,1,0.82,2.04,2.05,3.16,-2.319,-2.37,-4.8276,-8.5949,4.3407,6.1082,8.6084,12.9676,-2.319,-2.37,-4.8276,-8.5949,0.37,0.463,0.335,0,2.15,1.22,0.935,0.51,1.54,1.015,0.83,0.5,2.1407,-1.366031017
Rb.Ag.Al.Cl-ortho,Rb,Ag,Al,Rb.Ag.Al.Cl,3.625416,2.772829,2.362014,Cl,0,1,0.82,1.93,1.61,3.16,-2.2327,-4.4045,-2.7121,-8.5949,4.1771,7.5762,5.9858,12.9676,-2.2327,-4.4045,-2.7121,-8.5949,0.71,0.385,0,0,2.43,1.33,0.905,0.51,1.67,1.045,0.77,0.5,2.2615,-1.49338194
Rb.Ag.As.Cl-ortho,Rb,Ag,As,Rb.Ag.As.Cl,3.70399,2.734219,2.528839,Cl,0,1,0.82,1.93,2.18,3.16,-2.2327,-4.4045,-5.1947,-8.5949,4.1771,7.5762,9.7886,12.9676,-2.2327,-4.4045,-5.1947,-8.5949,0.71,0.385,0.155,0,2.43,1.33,0.745,0.51,1.67,1.045,0.67,0.5,1.3779,-1.17200885
Rb.Ag.Bi.Cl-ortho,Rb,Ag,Bi,Rb.Ag.Bi.Cl,3.854084,2.777838,2.743159,Cl,0,1,0.82,1.93,2.02,3.16,-2.2327,-4.4045,-4.5702,-8.5949,4.1771,7.5762,7.2855,12.9676,-2.2327,-4.4045,-4.5702,-8.5949,0.71,0.385,0.438,0,2.43,1.33,1.077,0.51,1.67,1.045,0.92,0.5,1.6589,-1.31406485
Rb.Ag.Ga.Cl-ortho,Rb,Ag,Ga,Rb.Ag.Ga.Cl,3.647429,2.7527,2.420227,Cl,0,1,0.82,1.93,1.81,3.16,-2.2327,-4.4045,-2.5791,-8.5949,4.1771,7.5762,5.9993,12.9676,-2.2327,-4.4045,-2.5791,-8.5949,0.71,0.385,0.17,0,2.43,1.33,0.935,0.51,1.67,1.045,0.76,0.5,1.0358,-1.31763695
Rb.Ag.In.Cl-ortho,Rb,Ag,In,Rb.Ag.In.Cl,3.74106,2.763259,2.568623,Cl,0,1,0.82,1.93,1.78,3.16,-2.2327,-4.4045,-2.5185,-8.5949,4.1771,7.5762,5.7864,12.9676,-2.2327,-4.4045,-2.5185,-8.5949,0.71,0.385,0.36,0,2.43,1.33,1.11,0.51,1.67,1.045,0.94,0.5,1.3193,-1.35126041
Rb.Ag.Sb.Cl-ortho,Rb,Ag,Sb,Rb.Ag.Sb.Cl,3.812058,2.76576,2.680015,Cl,0,1,0.82,1.93,2.05,3.16,-2.2327,-4.4045,-4.8276,-8.5949,4.1771,7.5762,8.6084,12.9676,-2.2327,-4.4045,-4.8276,-8.5949,0.71,0.385,0.335,0,2.43,1.33,0.935,0.51,1.67,1.045,0.83,0.5,1.549,-1.260702217
Rb.Au.Al.Cl-ortho,Rb,Au,Al,Rb.Au.Al.Cl,3.655279,3.029978,2.517694,Cl,0,1,0.82,2.54,1.61,3.16,-2.2327,-5.7602,-2.7121,-8.5949,4.1771,9.2255,5.9858,12.9676,-2.2327,-5.7602,-2.7121,-8.5949,0.71,0.488,0,0,2.43,1.45,0.905,0.51,1.67,1.21,0.77,0.5,2.7104,-1.39344299
Rb.Au.As.Cl-ortho,Rb,Au,As,Rb.Au.As.Cl,3.600297,2.289479,2.549257,Cl,0,1,0.82,2.54,2.18,3.16,-2.2327,-5.7602,-5.1947,-8.5949,4.1771,9.2255,9.7886,12.9676,-2.2327,-5.7602,-5.1947,-8.5949,0.71,0.488,0.155,0,2.43,1.45,0.745,0.51,1.67,1.21,0.67,0.5,2.1674,-1.08933755
Rb.Au.Bi.Cl-ortho,Rb,Au,Bi,Rb.Au.Bi.Cl,3.652252,3.034996,2.756035,Cl,0,1,0.82,2.54,2.02,3.16,-2.2327,-5.7602,-4.5702,-8.5949,4.1771,9.2255,7.2855,12.9676,-2.2327,-5.7602,-4.5702,-8.5949,0.71,0.488,0.438,0,2.43,1.45,1.077,0.51,1.67,1.21,0.92,0.5,2.253,-1.23596215
Rb.Au.Ga.Cl-ortho,Rb,Au,Ga,Rb.Au.Ga.Cl,3.67869,3.004703,2.586259,Cl,0,1,0.82,2.54,1.81,3.16,-2.2327,-5.7602,-2.5791,-8.5949,4.1771,9.2255,5.9993,12.9676,-2.2327,-5.7602,-2.5791,-8.5949,0.71,0.488,0.17,0,2.43,1.45,0.935,0.51,1.67,1.21,0.76,0.5,2.0708,-1.23418465
Rb.Au.In.Cl-ortho,Rb,Au,In,Rb.Au.In.Cl,3.703444,3.033588,2.66723,Cl,0,1,0.82,2.54,1.78,3.16,-2.2327,-5.7602,-2.5185,-8.5949,4.1771,9.2255,5.7864,12.9676,-2.2327,-5.7602,-2.5185,-8.5949,0.71,0.488,0.36,0,2.43,1.45,1.11,0.51,1.67,1.21,0.94,0.5,1.7497,-1.24971516
Rb.Au.Sb.Cl-ortho,Rb,Au,Sb,Rb.Au.Sb.Cl,3.637606,2.292451,2.697625,Cl,0,1,0.82,2.54,2.05,3.16,-2.2327,-5.7602,-4.8276,-8.5949,4.1771,9.2255,8.6084,12.9676,-2.2327,-5.7602,-4.8276,-8.5949,0.71,0.488,0.335,0,2.43,1.45,0.935,0.51,1.67,1.21,0.83,0.5,2.1466,-1.181227167
Rb.Cu.Al.Cl-ortho,Rb,Cu,Al,Rb.Cu.Al.Cl,3.606672,2.69347,2.40693,Cl,0,1,0.82,1.9,1.61,3.16,-2.2327,-4.6097,-2.7121,-8.5949,4.1771,7.7264,5.9858,12.9676,-2.2327,-4.6097,-2.7121,-8.5949,0.71,0.185,0,0,2.43,1.16,0.905,0.51,1.67,0.88,0.77,0.5,1.4505,-1.439780715
Rb.Cu.As.Cl-ortho,Rb,Cu,As,Rb.Cu.As.Cl,3.579538,2.517914,2.544325,Cl,0,1,0.82,1.9,2.18,3.16,-2.2327,-4.6097,-5.1947,-8.5949,4.1771,7.7264,9.7886,12.9676,-2.2327,-4.6097,-5.1947,-8.5949,0.71,0.185,0.155,0,2.43,1.16,0.745,0.51,1.67,0.88,0.67,0.5,0.5129,-1.136415575
Rb.Cu.Bi.Cl-ortho,Rb,Cu,Bi,Rb.Cu.Bi.Cl,3.60223,2.870821,2.753189,Cl,0,1,0.82,1.9,2.02,3.16,-2.2327,-4.6097,-4.5702,-8.5949,4.1771,7.7264,7.2855,12.9676,-2.2327,-4.6097,-4.5702,-8.5949,0.71,0.185,0.438,0,2.43,1.16,1.077,0.51,1.67,0.88,0.92,0.5,1.3267,-1.271771675
Rb.Cu.Ga.Cl-ortho,Rb,Cu,Ga,Rb.Cu.Ga.Cl,3.612663,2.61872,2.482166,Cl,0,1,0.82,1.9,1.81,3.16,-2.2327,-4.6097,-2.5791,-8.5949,4.1771,7.7264,5.9993,12.9676,-2.2327,-4.6097,-2.5791,-8.5949,0.71,0.185,0.17,0,2.43,1.16,0.935,0.51,1.67,0.88,0.76,0.5,0.7079,-1.281493475
Rb.Cu.In.Cl-ortho,Rb,Cu,In,Rb.Cu.In.Cl,3.619921,2.566485,2.581868,Cl,0,1,0.82,1.9,1.78,3.16,-2.2327,-4.6097,-2.5185,-8.5949,4.1771,7.7264,5.7864,12.9676,-2.2327,-4.6097,-2.5185,-8.5949,0.71,0.185,0.36,0,2.43,1.16,1.11,0.51,1.67,0.88,0.94,0.5,0.1536,-1.305817635
Rb.Cu.Sb.Cl-ortho,Rb,Cu,Sb,Rb.Cu.Sb.Cl,3.682005,2.531626,2.688299,Cl,0,1,0.82,1.9,2.05,3.16,-2.2327,-4.6097,-4.8276,-8.5949,4.1771,7.7264,8.6084,12.9676,-2.2327,-4.6097,-4.8276,-8.5949,0.71,0.185,0.335,0,2.43,1.16,0.935,0.51,1.67,0.88,0.83,0.5,0.655,-1.217150642
Rb.In.Al.Cl-ortho,Rb,In,Al,Rb.In.Al.Cl,3.854545,3.130599,2.36508,Cl,0,1,0.82,1.78,1.61,3.16,-2.2327,-2.5185,-2.7121,-8.5949,4.1771,5.7864,5.9858,12.9676,-2.2327,-2.5185,-2.7121,-8.5949,0.71,0.36,0,0,2.43,1.11,0.905,0.51,1.67,0.94,0.77,0.5,3.1603,-1.573592425
Rb.In.As.Cl-ortho,Rb,In,As,Rb.In.As.Cl,3.911634,3.053597,2.536801,Cl,0,1,0.82,1.78,2.18,3.16,-2.2327,-2.5185,-5.1947,-8.5949,4.1771,5.7864,9.7886,12.9676,-2.2327,-2.5185,-5.1947,-8.5949,0.71,0.36,0.155,0,2.43,1.11,0.745,0.51,1.67,0.94,0.67,0.5,1.2101,-1.248332235
Rb.In.Bi.Cl-ortho,Rb,In,Bi,Rb.In.Bi.Cl,3.69811,3.137578,2.747064,Cl,0,1,0.82,1.78,2.02,3.16,-2.2327,-2.5185,-4.5702,-8.5949,4.1771,5.7864,7.2855,12.9676,-2.2327,-2.5185,-4.5702,-8.5949,0.71,0.36,0.438,0,2.43,1.11,1.077,0.51,1.67,0.94,0.92,0.5,1.3492,-1.396087885
Rb.In.Ga.Cl-ortho,Rb,In,Ga,Rb.In.Ga.Cl,3.865227,3.091535,2.422622,Cl,0,1,0.82,1.78,1.81,3.16,-2.2327,-2.5185,-2.5791,-8.5949,4.1771,5.7864,5.9993,12.9676,-2.2327,-2.5185,-2.5791,-8.5949,0.71,0.36,0.17,0,2.43,1.11,0.935,0.51,1.67,0.94,0.76,0.5,1.8549,-1.396805935
Rb.In.In.Cl-ortho,Rb,In,In,Rb.In.In.Cl,3.758263,2.8471,2.8471,Cl,0,1,0.82,1.78,1.78,3.16,-2.2327,-2.5185,-2.5185,-8.5949,4.1771,5.7864,5.7864,12.9676,-2.2327,-2.5185,-2.5185,-8.5949,0.71,0.36,0.36,0,2.43,1.11,1.11,0.51,1.67,0.94,0.94,0.5,2.0694,-1.433161295
Rb.In.Sb.Cl-ortho,Rb,In,Sb,Rb.In.Sb.Cl,3.676608,3.117752,2.686941,Cl,0,1,0.82,1.78,2.05,3.16,-2.2327,-2.5185,-4.8276,-8.5949,4.1771,5.7864,8.6084,12.9676,-2.2327,-2.5185,-4.8276,-8.5949,0.71,0.36,0.335,0,2.43,1.11,0.935,0.51,1.67,0.94,0.83,0.5,1.4543,-1.340035302
Rb.Tl.Al.Cl-ortho,Rb,Tl,Al,Rb.Tl.Al.Cl,3.875144,3.168759,2.363071,Cl,0,1,0.82,2.04,1.61,3.16,-2.2327,-2.37,-2.7121,-8.5949,4.1771,6.1082,5.9858,12.9676,-2.2327,-2.37,-2.7121,-8.5949,0.71,0.463,0,0,2.43,1.22,0.905,0.51,1.67,1.015,0.77,0.5,3.6754,-1.61497043
Rb.Tl.As.Cl-ortho,Rb,Tl,As,Rb.Tl.As.Cl,3.754833,3.149445,2.531123,Cl,0,1,0.82,2.04,2.18,3.16,-2.2327,-2.37,-5.1947,-8.5949,4.1771,6.1082,9.7886,12.9676,-2.2327,-2.37,-5.1947,-8.5949,0.71,0.463,0.155,0,2.43,1.22,0.745,0.51,1.67,1.015,0.67,0.5,1.9166,-1.28285614
Rb.Tl.Bi.Cl-ortho,Rb,Tl,Bi,Rb.Tl.Bi.Cl,3.708466,3.19603,2.744826,Cl,0,1,0.82,2.04,2.02,3.16,-2.2327,-2.37,-4.5702,-8.5949,4.1771,6.1082,7.2855,12.9676,-2.2327,-2.37,-4.5702,-8.5949,0.71,0.463,0.438,0,2.43,1.22,1.077,0.51,1.67,1.015,0.92,0.5,1.9577,-1.43600174
Rb.Tl.Ga.Cl-ortho,Rb,Tl,Ga,Rb.Tl.Ga.Cl,3.898318,3.154046,2.417244,Cl,0,1,0.82,2.04,1.81,3.16,-2.2327,-2.37,-2.5791,-8.5949,4.1771,6.1082,5.9993,12.9676,-2.2327,-2.37,-2.5791,-8.5949,0.71,0.463,0.17,0,2.43,1.22,0.935,0.51,1.67,1.015,0.76,0.5,2.6567,-1.43454349
Rb.Tl.In.Cl-ortho,Rb,Tl,In,Rb.Tl.In.Cl,3.650913,3.176973,2.566764,Cl,0,1,0.82,2.04,1.78,3.16,-2.2327,-2.37,-2.5185,-8.5949,4.1771,6.1082,5.7864,12.9676,-2.2327,-2.37,-2.5185,-8.5949,0.71,0.463,0.36,0,2.43,1.22,1.11,0.51,1.67,1.015,0.94,0.5,2.8388,-1.4725266
Rb.Tl.Sb.Cl-ortho,Rb,Tl,Sb,Rb.Tl.Sb.Cl,3.691574,3.186187,2.683929,Cl,0,1,0.82,2.04,2.05,3.16,-2.2327,-2.37,-4.8276,-8.5949,4.1771,6.1082,8.6084,12.9676,-2.2327,-2.37,-4.8276,-8.5949,0.71,0.463,0.335,0,2.43,1.22,0.935,0.51,1.67,1.015,0.83,0.5,1.9664,-1.378649507
Cs.Ag.Al.I-ortho,Cs,Ag,Al,Cs.Ag.Al.I,4.22336,3.158033,2.836247,I,0,1,0.79,1.93,1.61,2.66,-2.0862,-4.4045,-2.7121,-7.0851,3.8939,7.5762,5.9858,10.4513,-2.0862,-4.4045,-2.7121,-7.0851,0,0.385,0,0.315,2.6,1.33,0.905,0.83,1.71,1.045,0.77,0.755,0.8116,-0.896864245
Cs.Ag.As.I-ortho,Cs,Ag,As,Cs.Ag.As.I,4.192273,3.021937,2.909292,I,0,1,0.79,1.93,2.18,2.66,-2.0862,-4.4045,-5.1947,-7.0851,3.8939,7.5762,9.7886,10.4513,-2.0862,-4.4045,-5.1947,-7.0851,0,0.385,0.155,0.315,2.6,1.33,0.745,0.83,1.71,1.045,0.67,0.755,0.2816,-0.756875155
Cs.Ag.Bi.I-ortho,Cs,Ag,Bi,Cs.Ag.Bi.I,4.342271,3.061319,3.12166,I,0,1,0.79,1.93,2.02,2.66,-2.0862,-4.4045,-4.5702,-7.0851,3.8939,7.5762,7.2855,10.4513,-2.0862,-4.4045,-4.5702,-7.0851,0,0.385,0.438,0.315,2.6,1.33,1.077,0.83,1.71,1.045,0.92,0.755,0.7825,-0.876138405
Cs.Ag.Ga.I-ortho,Cs,Ag,Ga,Cs.Ag.Ga.I,4.253524,3.112322,2.917148,I,0,1,0.79,1.93,1.81,2.66,-2.0862,-4.4045,-2.5791,-7.0851,3.8939,7.5762,5.9993,10.4513,-2.0862,-4.4045,-2.5791,-7.0851,0,0.385,0.17,0.315,2.6,1.33,0.935,0.83,1.71,1.045,0.76,0.755,0.5187,-0.821308805
Cs.Ag.In.I-ortho,Cs,Ag,In,Cs.Ag.In.I,4.295222,3.097199,3.011323,I,0,1,0.79,1.93,1.78,2.66,-2.0862,-4.4045,-2.5185,-7.0851,3.8939,7.5762,5.7864,10.4513,-2.0862,-4.4045,-2.5185,-7.0851,0,0.385,0.36,0.315,2.6,1.33,1.11,0.83,1.71,1.045,0.94,0.755,0.4092,-0.875527365
