,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,ind_gap,heat_of_formation
0,-0.9442442,-0.46784297,-0.25063366,-0.6079174,0.7224369,2.718357,1.3908597,0.09570885,-0.3765029,-0.38137418,1.0274,-1.24055807
1,-0.1844225,-0.26332295,-0.4066186,1.421094,1.2848933,3.8539946,1.308007,-0.123639636,1.368393,0.9359944,0.781,-1.01283278
2,-0.3814592,-0.3213164,-0.36048084,0.19059998,1.1590824,3.4476418,1.226776,-0.08554051,0.499673,0.13378465,1.1399,-1.14508968
3,-0.7916774,-0.41921327,-0.27085498,-0.44600525,0.81709665,2.8010075,1.5049905,-0.020919824,-0.25489828,-0.2733023,0.0,-1.11253953
4,-0.78556895,-0.45226637,-0.3165289,-0.3892481,0.9836582,3.238737,0.9387076,0.08526468,-0.21901432,-0.2674981,0.1818,-1.16285904
5,-0.29821616,-0.2934676,-0.37260926,0.6741473,1.1817296,3.5592203,1.3019476,-0.10468032,0.84434664,0.47253132,0.8519,-1.097396247
6,-1.0909933,-0.4369032,-0.027316177,-0.73001397,-0.2543562,2.9220505,1.4846973,0.6682049,-0.54527086,-0.23088603,0.0,-1.12368817
7,-0.20121756,-0.23621193,-0.325626,1.4776311,0.46537057,4.083724,1.3830633,-0.08298796,1.2237303,1.4622744,0.0,-0.92291908
8,-0.39891434,-0.3048977,-0.2977727,0.2519822,0.49037716,3.6945684,1.197765,-0.044570576,0.3850969,0.5627414,0.1284,-1.04396848
9,-0.8776194,-0.40011904,-0.12401861,-0.50660956,-0.107306026,3.0169673,1.4465351,0.31622076,-0.35465428,-0.15787645,0.0,-1.01776063
10,-0.8373882,-0.43071055,-0.19917087,-0.41065094,-0.029667938,3.4954927,0.8853101,0.42982233,-0.28326687,-0.1507361,0.0,-1.06243054
11,-0.31209967,-0.27487597,-0.3087873,0.7128681,0.5391842,3.7392132,1.3086386,-0.06977784,0.7289196,0.8771138,0.0,-1.002226847
12,-0.81125605,-0.46402034,-0.3369764,-0.5412335,1.7359192,2.1923323,1.3272781,-0.064971544,-0.27013287,-0.44771585,0.0,-1.166497295
13,-0.1335006,-0.27712506,-0.45740828,1.37798,1.9824102,3.382282,1.1692078,-0.17128837,1.5539128,0.5088743,0.2252,-0.959211105
14,-0.3342993,-0.33682895,-0.41354045,0.15735668,1.8508554,3.0221174,1.077014,-0.12998164,0.6829036,-0.057442117,0.5649,-1.093462005
15,-0.65829015,-0.4145454,-0.35389534,-0.37701643,1.7936537,2.2914846,1.429825,-0.10241468,-0.14859076,-0.33390638,0.0,-1.057289155
16,-0.6727428,-0.45581993,-0.39529094,-0.3374073,1.9136131,2.759407,0.7907879,-0.053096008,-0.12786613,-0.3366592,0.0,-1.109614665
17,-0.2512315,-0.30961022,-0.42692214,0.6524776,1.873054,3.154213,1.1418557,-0.1478014,1.0325954,0.05786085,0.3254,-1.045705172
18,-0.71873355,-0.49264294,-0.5105045,-0.52668303,3.556128,1.545654,1.4549764,-0.18796654,-0.17284404,-0.645606,1.9981,-1.325690505
19,-0.07223608,-0.32191285,-0.61527824,1.3497484,3.6286426,2.8392143,1.0339905,-0.26246452,1.9248859,-0.09551366,0.1267,-1.095792715
20,-0.27772075,-0.37876734,-0.5633706,0.05636722,3.4734168,2.396132,1.0057045,-0.22552136,1.0086646,-0.26023895,0.0181,-1.214388415
21,-0.57872355,-0.43427822,-0.47552967,-0.35494998,3.0803683,1.8219845,1.435927,-0.18816435,-0.06967695,-0.46618563,1.016,-1.221824565
22,-0.5968743,-0.4836638,-0.5316681,-0.33614138,3.4056232,2.1501992,0.7928552,-0.15092884,-0.052149843,-0.5069589,0.8082,-1.240542875
23,-0.19507638,-0.3547042,-0.58259606,0.5998625,3.5003858,2.6119595,1.0191506,-0.23777524,1.3812069,-0.18683524,0.087,-1.169661782
24,-0.68557304,-0.5020527,-0.560795,-0.5088359,4.0501347,1.4227761,1.4074019,-0.2167512,-0.13731967,-0.69118667,2.6282,-1.36037836
25,-0.03908923,-0.33272228,-0.66907686,1.4354657,4.1559224,2.710624,0.9819872,-0.29255214,2.106788,-0.14562817,0.8269,-1.11457837
26,-0.2712871,-0.3899087,-0.5968491,0.0027230978,3.8373404,2.2552648,0.9939215,-0.2458576,1.0581565,-0.3102172,0.6537,-1.24036537
27,-0.57452387,-0.46600452,-0.56613505,-0.38895983,4.030175,1.5036248,1.4373013,-0.2386498,-0.050647784,-0.6013772,1.4557,-1.22460492
28,-0.58397144,-0.5050048,-0.59884155,-0.34704766,4.0873914,1.9535508,0.76272947,-0.18649006,-0.029269934,-0.59504837,1.6335,-1.26826333
29,-0.1892014,-0.36586285,-0.61622304,0.541233,3.8676326,2.4671469,1.0128373,-0.25856286,1.42804,-0.23780404,0.6989,-1.193051637
30,-0.6398255,-0.3778599,0.7623561,-0.8440324,-0.06254834,-0.29401234,0.02215863,-0.06988597,-0.410636,-0.38099906,1.0488,-1.17548865
31,0.40727663,-0.19284625,-0.08837336,0.6482475,0.4358905,0.61291945,0.029425051,-0.18494931,1.3442043,1.053661,0.7009,-0.93781856
32,-0.09625802,-0.24963784,-0.04216416,-0.085590005,0.25430435,0.30980018,-0.037126582,-0.13783371,0.5679872,0.38036162,1.1002,-1.05289026
33,-0.5025274,-0.3367486,0.45718735,-0.62617695,-0.038095523,-0.16438861,0.16180429,-0.09009153,-0.2686134,-0.24402824,0.0,-1.04469821
34,-0.4809117,-0.42235065,0.1718045,-0.52517617,-0.008834779,-0.015761113,-0.3219269,0.11135852,-0.2018838,-0.22637372,0.131,-1.08242902
35,-0.0054176333,-0.2119761,-0.05436156,0.058414996,0.3055301,0.3549129,0.06364898,-0.17163067,0.92554337,0.72241086,0.7905,-1.009351227
36,-0.86856365,-0.35388502,1.8035741,-0.9091274,-0.5591718,-0.03315955,0.25038528,0.55957663,-0.59800565,-0.14525023,0.0,-1.05859425
37,0.37777066,-0.17655759,-0.04660088,0.69985473,0.004347816,0.74407613,0.09362158,-0.16519187,1.2814823,1.3478855,0.0,-0.84996006
38,-0.12408018,-0.22960185,0.04001987,-0.07375634,-0.07054692,0.6217338,-0.0027103673,-0.106066145,0.44053495,0.7800067,0.0912,-0.95272066
39,-0.6530042,-0.3221862,1.2566906,-0.67906857,-0.39444476,-0.0066279355,0.16256946,0.20731616,-0.40045664,-0.0794513,0.0,-0.95100471
40,-0.5903728,-0.39205703,0.90855324,-0.5777397,-0.3090504,0.37021515,-0.27256903,0.54255974,-0.31246993,-0.0863538,0.0,-0.98263062
41,-0.03277695,-0.19993131,-0.0078923395,0.119657815,-0.05353396,0.6749947,0.089498,-0.13299082,0.80995774,1.0913378,0.0,-0.915576027
42,-0.47023568,-0.35612854,0.8516815,-0.952613,0.7670168,-0.7372527,-0.007844803,-0.22181557,-0.367045,-0.5565458,0.0,-1.121526975
43,0.58530927,-0.20268328,-0.12404936,0.60078543,0.94073385,0.2547852,-0.012283127,-0.22026503,1.469104,0.73465574,0.1748,-0.901987585
44,-0.05191958,-0.2826212,-0.0869702,-0.08236058,0.82405245,0.013823122,-0.15406646,-0.1482908,0.7605803,0.026438117,0.5536,-1.014436285
45,-0.34258103,-0.3181242,0.51609033,-0.71821755,0.8244381,-0.56544316,0.07084691,-0.22854427,-0.22288767,-0.4034396,0.0,-1.007841435
46,-0.35407248,-0.4389251,0.07150405,-0.55735534,0.8341754,-0.26179144,-0.4505372,-0.046815585,-0.14180617,-0.34620854,0.0,-1.044343445
47,0.121278584,-0.2341262,-0.09921407,0.032387793,0.84624135,0.08865672,-0.042486668,-0.19380079,1.0621841,0.3758698,0.2896,-0.972103152
48,-0.33076635,-0.3617619,0.7042278,-1.1537262,2.5428803,-1.2840753,-5.930476e-05,-0.41873884,-0.35016653,-0.8747656,1.8402,-1.235024085
49,0.80758417,-0.23303695,-0.2536408,0.5341154,2.3039625,-0.04514984,0.008284876,-0.30549797,1.7419509,-0.019571973,0.1191,-1.002699795
50,0.074952245,-0.3081843,-0.15227292,-0.23635645,2.3768206,-0.35354683,-0.14898652,-0.28761068,0.7953342,-0.26703706,0.1729,-1.107317995
51,-0.2377524,-0.3239302,0.35056564,-0.8447315,2.1407595,-0.9366913,0.07450997,-0.36766857,-0.19990472,-0.6258925,0.793,-1.131587345
52,-0.25001556,-0.44468817,-0.011805507,-0.74179137,2.3501365,-0.72629803,-0.42790723,-0.21573162,-0.13820386,-0.62623334,0.6186,-1.141480155
53,0.41547292,-0.26266882,-0.17903125,-0.12040956,2.364629,-0.28236333,-0.038515504,-0.32017854,1.1376967,-0.17772995,0.0877,-1.065980862
54,-0.25339302,-0.35936412,0.7434376,-1.2428383,3.2195718,-1.5494246,-0.016088426,-0.5033558,-0.34094992,-1.0019438,2.5609,-1.26694424
55,1.123551,-0.23148794,-0.21263039,-0.047510456,2.9328268,-0.39214557,-0.015938241,-0.39849624,1.6150776,-0.18234964,0.6552,-1.01561165
56,0.4093073,-0.3202541,-0.113150716,-0.37819755,2.985242,-0.6823899,-0.23071015,-0.35978517,0.7077803,-0.4244584,0.5501,-1.13025095
57,-0.16446519,-0.33299324,0.47031257,-1.0554217,3.2170005,-1.3908862,-0.0034759312,-0.49898633,-0.231355,-0.87575305,1.334,-1.1302742
58,-0.15877174,-0.46300146,0.116730124,-0.9192244,3.2624242,-1.149964,-0.53164333,-0.31547618,-0.15247512,-0.84062827,1.5368,-1.16567681
59,0.74235886,-0.2745932,-0.14165501,-0.2597154,2.9697552,-0.60496,-0.11745882,-0.3916103,1.0523357,-0.33318958,0.5557,-1.085567417
